date,price,district_id,lot1_surface,lot2_surface,lot3_surface,lot4_surface,lot5_surface,lots,type,surface,rooms,extra,extra_special,land_surface
2017-07-07,431770.0,69004,72.22,0.0,0.0,0.0,0.0,2,apartment,71.0,3,none,no_special,0.0
2017-07-03,275000.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,65.0,3,none,no_special,0.0
2017-07-07,325200.0,69004,0.0,0.0,0.0,0.0,0.0,3,apartment,65.0,3,none,no_special,0.0
2017-07-07,156000.0,69001,63.5,0.0,0.0,0.0,0.0,2,apartment,65.0,2,none,no_special,0.0
2017-07-04,467000.0,69004,90.13,0.0,0.0,0.0,0.0,1,apartment,83.0,2,none,no_special,0.0
2017-07-10,493400.0,69004,0.0,123.38,0.0,0.0,0.0,2,apartment,110.0,4,none,no_special,0.0
2017-07-04,366720.0,69009,0.0,0.0,0.0,0.0,0.0,2,apartment,110.0,4,none,no_special,0.0
2017-07-05,385800.0,69005,0.0,0.0,0.0,0.0,0.0,2,apartment,113.0,4,none,no_special,0.0
2017-07-13,210750.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,69.0,3,none,no_special,0.0
2017-07-04,170000.0,69001,30.75,0.0,0.0,0.0,0.0,1,apartment,30.0,1,none,no_special,0.0
2017-07-03,257188.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,63.0,3,none,no_special,0.0
2017-07-06,130000.0,69005,49.33,0.0,0.0,0.0,0.0,2,apartment,54.0,2,none,no_special,0.0
2017-07-06,260000.0,69009,73.86,0.0,0.0,0.0,0.0,1,apartment,73.0,3,none,no_special,0.0
2017-07-12,164000.0,69009,55.1,0.0,0.0,0.0,0.0,1,apartment,53.0,2,none,no_special,0.0
2017-07-10,296500.0,69009,87.07,0.0,0.0,0.0,0.0,1,apartment,87.0,4,none,no_special,0.0
2017-07-05,154525.0,69005,0.0,0.0,0.0,0.0,0.0,1,apartment,44.0,2,none,no_special,0.0
2017-07-11,674830.0,69002,107.6,0.0,0.0,0.0,0.0,2,apartment,107.0,4,none,no_special,0.0
2017-07-05,269550.0,69001,72.03,0.0,0.0,0.0,0.0,1,apartment,80.0,2,none,no_special,0.0
2017-07-03,285500.0,69005,0.0,0.0,0.0,0.0,0.0,2,apartment,94.0,4,none,no_special,0.0
2017-07-11,224250.0,69004,54.12,0.0,0.0,0.0,0.0,1,apartment,56.0,3,none,no_special,0.0
2017-07-03,410000.0,69002,65.78,0.0,0.0,0.0,0.0,1,apartment,65.0,3,none,no_special,0.0
2017-07-06,235000.0,69002,47.9,0.0,0.0,0.0,0.0,1,apartment,48.0,2,none,no_special,0.0
2017-07-12,1100000.0,69005,0.0,0.0,0.0,0.0,0.0,0,house,201.0,9,pleasure_grounds,park,580.0
2017-07-12,1100000.0,69005,0.0,0.0,0.0,0.0,0.0,0,house,201.0,9,ground,no_special,386.0
